Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,3.3uF/16V,C7393948
C10,0603,1,22nF,C21122
"C2, C3, C4",0603,3,100nF,C14663
"C5, C7",0603,2,10nF,C57112
C6,0805,1,10uF,C15850
"C8, C9",0603,2,1uF,C15849
J1,Molex_PicoBlade_53047-0610_1x06_P1.25mm_Vertical,1,Conn_01x06,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
R1,0603,1,10k,C25804
"S1, S2, S3",SW_D2F-FL,3,D2F-FL,
S4,PTS636SKG25JSMTRLFS,1,PTS636SKG25JSMTR_LFS,
SW1,Rotary_Encoder,1,RotaryEncoder,
U1,PMW3610DM-SUDU 16Pin,1,PMW3610,C42442560
U2,SOT-23-5_HandSoldering,1,TLV74318PDBVR,C485152
