Designator,Mid X,Mid Y,Rotation,Layer
C1,191.6,-67.0,90.0,top
C2,189.5,-66.775,90.0,top
C3,209.9,-86.4,270.0,top
C4,184.1,-82.0,270.0,top
C5,184.2,-72.0,90.0,top
C6,189.0,-71.15,0.0,top
C7,186.05,-72.0,90.0,top
C8,201.15,-76.05,270.0,top
C9,187.6,-66.825,90.0,top
J1,178.195,-112.25,270.0,top
J2,206.4,-96.82,0.0,top
J3,180.8,-75.61,0.0,top
JP1,209.8,-82.05,90.0,top
R1,201.15,-79.25,90.0,top
S1,173.45,-48.8625,270.0,top
S2,209.3,-46.85,270.0,top
S3,179.75,-56.4625,270.0,top
S4,173.1,-64.25,90.0,bottom
SW1,200.65,-54.45,270.0,top
TP1,209.35,-60.85,0.0,top
TP2,209.3,-65.35,0.0,top
TP3,209.25,-69.35,0.0,top
U1,191.55,-82.418,270.0,top
U2,202.0,-71.9,180.0,top
U3,191.562205,-111.004795,0.0,top
